Path length, A* time, HPA* time 
469, 36.2247, 1.1387
472, 37.6582, 0.6621
470, 65.923, 0.9219
476, 53.9091, 2.412
475, 28.6497, 1.4996
474, 38.679, 0.6461
479, 41.843, 1.0467
477, 54.1535, 1.1673
480, 61.4913, 0.7879
478, 96.9175, 1.3668
481, 63.6214, 1.2838
482, 30.9361, 1.5078
484, 13.8946, 1.0118
483, 46.9622, 3.4693
485, 45.0582, 1.8739
487, 46.0476, 0.7685
488, 26.6934, 1.0258
489, 35.2374, 1.0304
490, 33.7547, 1.1987
492, 62.0348, 1.7966
495, 31.4855, 0.6574
493, 38.1963, 1.1567
496, 29.1455, 0.6916
494, 55.9981, 1.4265
499, 26.4051, 1.3533
500, 44.9604, 0.8946
497, 54.3271, 2.4193
498, 50.4973, 0.7928
501, 38.039, 0.7082
503, 26.012, 0.484
504, 62.8924, 1.6598
502, 71.7334, 1.0162
507, 73.3728, 1.0142
506, 47.9174, 1.8988
508, 20.1164, 0.8347
505, 51.0834, 1.3082
511, 24.448, 1.8314
510, 42.8272, 1.2706
509, 49.9467, 1.5857
512, 49.9188, 1.8677
514, 44.4817, 0.9269
515, 58.6958, 1.4034
513, 41.1956, 1.807
518, 46.2381, 1.9697
516, 35.9406, 0.653
517, 43.3252, 0.9757
519, 46.3849, 0.7897
520, 28.3919, 1.341
521, 53.7613, 2.0794
523, 39.7234, 1.2878
522, 66.5704, 1.9759
528, 62.5058, 1.4068
524, 76.3863, 0.9052
527, 42.6364, 1.1124
525, 19.7365, 1.381
526, 46.0311, 0.8786
529, 64.2835, 0.8666
531, 34.2492, 1.6083
530, 68.7814, 1.3151
532, 33.6175, 2.2729
533, 38.506, 0.6302
534, 71.0914, 1.044
535, 36.0618, 2.4902
537, 53.2373, 2.4616
540, 62.9276, 1.6486
538, 38.9807, 2.0913
539, 67.6559, 1.6319
536, 36.6878, 2.2707
541, 46.9559, 0.8704
542, 34.5189, 3.4745
543, 22.3218, 0.7179
544, 77.7989, 1.5624
546, 65.003, 1.1047
548, 67.8891, 0.7023
547, 77.5026, 1.211
545, 67.4904, 1.0122
549, 70.6992, 0.6933
550, 112.297, 1.8172
551, 62.9494, 2.0655
552, 56.4483, 1.4119
555, 46.6321, 1.0341
553, 76.687, 1.0642
556, 40.2142, 1.1508
560, 91.9696, 1.8118
558, 58.9377, 0.969
557, 88.4822, 2.6022
559, 16.9868, 1.696
562, 6.1922, 0.6445
561, 46.5682, 0.9329
564, 51.6956, 2.66
563, 2.5351, 1.1113
567, 67.339, 1.1735
565, 80.391, 1.6389
566, 68.3009, 1.632
569, 49.3311, 1.5922
572, 56.9935, 0.8103
571, 41.5286, 0.9692
568, 37.3856, 1.7215
570, 101.5319, 3.1387
573, 73.5138, 1.0994
574, 16.1697, 0.9979
575, 52.18, 0.9702
576, 106.9769, 1.1434
579, 34.9302, 1.1266
580, 60.7228, 1.6785
578, 39.4877, 0.8865
577, 68.0427, 1.1883
583, 62.1263, 1.0366
584, 46.2224, 1.0684
581, 74.8503, 0.9526
587, 40.8768, 2.0312
586, 60.7796, 1.5558
585, 76.8096, 0.8908
588, 70.5461, 0.9294
591, 41.6789, 1.6798
589, 56.4739, 2.3097
590, 101.3463, 1.1848
596, 82.2005, 1.6118
592, 28.4118, 0.6063
593, 88.1722, 1.11
595, 56.6, 1.0268
594, 148.6484, 2.7538
600, 80.1828, 1.1911
597, 100.2503, 1.4021
599, 66.3864, 1.0742
598, 76.3412, 1.4846
602, 76.5998, 2.0054
604, 60.7524, 2.0532
601, 45.8141, 0.8335
603, 75.0217, 0.9448
605, 77.3725, 1.4156
607, 64.0464, 0.8993
608, 72.5941, 0.9812
606, 60.042, 2.3315
610, 83.0742, 1.5535
609, 82.9024, 1.5896
611, 32.1285, 1.7337
615, 95.6836, 2.188
614, 72.9529, 1.4921
616, 75.7574, 1.1628
613, 63.075, 2.7332
612, 74.2342, 1.7384
617, 81.5325, 1.5509
619, 73.9418, 1.9727
618, 27.4376, 0.7086
624, 46.438, 1.1313
623, 73.5802, 1.7296
620, 97.568, 1.708
621, 92.0042, 2.108
626, 68.1872, 1.9102
628, 63.4774, 0.9174
627, 52.3853, 0.9282
625, 82.8751, 1.1609
629, 57.4387, 1.3312
630, 60.6607, 1.5946
631, 121.5309, 1.2055
633, 88.3613, 1.7237
635, 77.3467, 3.03
636, 57.2822, 1.9269
632, 46.8344, 2.5375
634, 74.2084, 2.2082
640, 61.3068, 1.2762
637, 83.8738, 1.0503
638, 95.7987, 1.5555
639, 59.919, 1.3773
644, 94.0679, 4.0676
641, 40.7553, 0.9535
643, 140.1294, 3.3267
642, 77.42, 1.3206
646, 61.2894, 1.4869
647, 33.0821, 1.1991
645, 54.9619, 0.9787
648, 101.3174, 1.3897
650, 77.229, 1.1753
649, 78.9289, 0.9516
651, 99.0888, 1.7309
653, 75.3247, 1.7867
655, 96.9148, 1.5494
659, 84.1683, 1.1786
660, 86.0732, 1.2448
657, 126.055, 4.4806
658, 79.4452, 8.0716
656, 36.1627, 0.6533
662, 76.8808, 1.0706
661, 101.8864, 1.3744
663, 11.6572, 0.6978
664, 49.5724, 0.9802
667, 52.3935, 0.8843
665, 96.5076, 1.1506
666, 64.7437, 3.1571
668, 68.6469, 1.4273
672, 95.1111, 0.9665
671, 103.2446, 1.9366
670, 84.9626, 1.2462
669, 75.7496, 3.497
674, 74.5359, 1.0593
676, 86.6133, 3.4113
673, 62.871, 1.366
675, 107.296, 1.2374
678, 90.2434, 2.145
679, 61.823, 1.6358
677, 72.4336, 1.8332
680, 72.0297, 0.8375
682, 107.0313, 1.6324
683, 78.3421, 2.1842
684, 72.5579, 3.3908
681, 54.3543, 0.9071
686, 55.4306, 0.8573
685, 109.5918, 2.7231
688, 67.6792, 1.523
690, 73.6281, 1.4433
689, 78.4996, 1.1475
691, 113.0996, 2.1334
695, 67.8879, 1.3838
694, 62.539, 0.8807
693, 123.4214, 2.5963
692, 39.8153, 0.9451
696, 85.9228, 1.0645
697, 84.6539, 3.5427
698, 97.6368, 1.4886
699, 53.165, 0.9963
700, 118.0344, 2.1215
702, 67.5519, 1.1145
704, 123.2606, 2.1579
701, 70.6006, 4.1824
703, 85.6118, 3.2315
705, 65.8849, 0.8539
706, 93.6874, 1.0264
707, 57.4237, 1.014
708, 88.3563, 1.1206
709, 107.5386, 1.1256
710, 114.5733, 1.3417
711, 115.1241, 1.2194
715, 118.5008, 2.3072
716, 88.9179, 1.1994
714, 120.7996, 2.808
713, 93.9982, 2.3676
718, 129.2123, 2.2041
720, 80.8895, 1.2811
717, 115.7884, 1.2876
719, 70.5498, 1.1265
722, 122.3438, 1.3958
723, 86.3633, 1.6953
721, 66.4812, 1.243
724, 40.6785, 1.2973
727, 78.4647, 2.5181
725, 82.1606, 1.3262
726, 91.0078, 1.1083
728, 115.9835, 1.058
729, 91.672, 3.3809
730, 86.7715, 1.2738
731, 57.8624, 0.9239
733, 112.2912, 1.9509
734, 107.2818, 3.4985
735, 68.8009, 1.328
732, 71.3291, 0.9061
736, 118.9895, 1.4468
739, 78.1937, 1.3276
738, 126.0284, 1.3342
740, 75.0621, 0.9483
737, 74.4227, 2.8162
741, 94.4323, 1.1677
743, 87.9655, 1.6838
744, 149.8118, 3.113
747, 101.3906, 1.918
746, 101.4356, 1.7254
748, 90.7931, 1.7197
745, 162.3356, 1.4031
751, 87.6857, 1.0759
749, 115.852, 1.6066
750, 133.8008, 1.397
752, 31.4613, 0.7884
754, 67.7165, 2.4808
753, 120.1272, 2.2826
755, 5.1173, 0.6065
758, 98.3936, 1.8778
